freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.436e+02,2.175e+01,2.557e+01,3.909e+02
1.6,2.129e+02,5.389e+01,7.383e+01,3.406e+02
3.2,4.427e+01,6.178e+01,7.938e+01,1.854e+02
4.8,3.823e+02,6.154e+01,7.608e+01,5.199e+02
6.3,1.168e+03,6.291e+01,8.323e+01,1.315e+03
7.9,1.846e+03,6.132e+01,8.961e+01,1.997e+03
9.5,2.555e+03,5.778e+01,9.105e+01,2.704e+03
11.1,3.424e+03,6.864e+01,8.540e+01,3.578e+03
12.7,4.420e+03,7.757e+01,8.343e+01,4.581e+03
14.3,5.586e+03,8.336e+01,8.072e+01,5.750e+03
15.9,7.065e+03,9.617e+01,8.039e+01,7.241e+03
17.5,9.056e+03,1.075e+02,8.269e+01,9.246e+03
19.0,1.144e+04,1.176e+02,8.738e+01,1.164e+04
20.6,1.177e+04,1.113e+02,8.522e+01,1.196e+04
22.2,1.090e+04,1.179e+02,8.783e+01,1.110e+04
23.8,1.232e+04,1.258e+02,8.306e+01,1.253e+04
25.4,1.514e+04,1.551e+02,7.857e+01,1.538e+04
27.0,1.859e+04,1.938e+02,8.179e+01,1.886e+04
28.6,2.284e+04,2.463e+02,1.045e+02,2.319e+04
30.2,2.705e+04,2.785e+02,1.087e+02,2.744e+04
31.7,2.966e+04,2.731e+02,1.063e+02,3.004e+04
33.3,3.404e+04,3.175e+02,1.329e+02,3.449e+04
34.9,3.975e+04,3.916e+02,1.665e+02,4.031e+04
36.5,4.442e+04,5.015e+02,2.090e+02,4.513e+04
38.1,5.139e+04,6.299e+02,2.874e+02,5.231e+04
39.7,5.946e+04,7.181e+02,4.110e+02,6.059e+04
41.3,7.304e+04,8.874e+02,6.308e+02,7.456e+04
42.9,9.236e+04,1.222e+03,1.016e+03,9.460e+04
44.4,1.156e+05,1.612e+03,1.403e+03,1.186e+05
46.0,1.479e+05,2.138e+03,1.731e+03,1.518e+05
47.6,1.924e+05,2.864e+03,2.159e+03,1.974e+05
49.2,2.548e+05,3.799e+03,2.896e+03,2.615e+05
50.8,3.566e+05,5.141e+03,4.850e+03,3.666e+05
52.4,5.179e+05,7.226e+03,7.470e+03,5.326e+05
54.0,7.707e+05,9.933e+03,7.388e+03,7.880e+05
55.6,1.134e+06,1.396e+04,4.593e+03,1.153e+06
57.1,1.407e+06,1.683e+04,4.163e+03,1.428e+06
58.7,1.353e+06,1.669e+04,4.449e+03,1.374e+06
60.3,9.941e+05,1.163e+04,3.374e+03,1.009e+06
61.9,7.298e+05,7.506e+03,1.538e+03,7.388e+05
63.5,5.320e+05,8.930e+03,2.642e+03,5.436e+05
65.1,3.353e+05,1.019e+04,6.847e+03,3.523e+05
66.7,2.076e+05,7.773e+03,7.465e+03,2.229e+05
68.3,1.312e+05,4.000e+03,3.855e+03,1.390e+05
69.8,8.539e+04,2.582e+03,2.380e+03,9.035e+04
71.4,5.524e+04,1.909e+03,1.883e+03,5.903e+04
73.0,3.437e+04,2.155e+03,1.105e+03,3.763e+04
74.6,2.383e+04,3.950e+03,1.607e+03,2.939e+04
76.2,2.008e+04,5.937e+03,3.934e+03,2.995e+04
77.8,1.708e+04,6.477e+03,5.539e+03,2.909e+04
79.4,1.411e+04,5.533e+03,5.560e+03,2.520e+04
81.0,1.220e+04,4.496e+03,4.271e+03,2.097e+04
82.5,1.799e+04,5.146e+03,3.680e+03,2.681e+04
84.1,3.731e+04,1.062e+04,8.462e+03,5.639e+04
85.7,5.823e+04,2.003e+04,1.985e+04,9.812e+04
87.3,7.475e+04,2.196e+04,2.672e+04,1.234e+05
88.9,6.584e+04,1.382e+04,2.236e+04,1.020e+05
90.5,5.439e+04,1.164e+04,1.757e+04,8.359e+04
92.1,5.499e+04,1.655e+04,1.665e+04,8.818e+04
93.7,5.779e+04,1.987e+04,1.683e+04,9.449e+04
95.2,5.456e+04,1.960e+04,1.556e+04,8.972e+04
96.8,4.539e+04,2.075e+04,1.609e+04,8.223e+04
98.4,3.688e+04,2.520e+04,1.718e+04,7.926e+04
100.0,3.035e+04,3.160e+04,1.868e+04,8.063e+04
101.6,2.469e+04,3.652e+04,2.083e+04,8.203e+04
103.2,2.040e+04,3.850e+04,2.268e+04,8.159e+04
104.8,1.519e+04,3.444e+04,2.114e+04,7.078e+04
106.4,1.253e+04,3.106e+04,2.051e+04,6.410e+04
107.9,1.212e+04,2.847e+04,2.161e+04,6.219e+04
109.5,1.110e+04,2.336e+04,2.160e+04,5.607e+04
