freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.234e+02,4.592e+01,9.895e+01,5.682e+02
1.6,2.578e+02,1.125e+02,3.139e+02,6.841e+02
3.2,4.265e+01,1.502e+02,2.950e+02,4.878e+02
4.7,3.771e+02,1.248e+02,3.363e+02,8.383e+02
6.3,1.193e+03,1.466e+02,3.941e+02,1.734e+03
7.9,1.959e+03,1.546e+02,3.648e+02,2.478e+03
9.5,2.820e+03,1.457e+02,3.332e+02,3.299e+03
11.1,3.878e+03,1.323e+02,3.498e+02,4.360e+03
12.6,5.195e+03,1.433e+02,3.890e+02,5.727e+03
14.2,6.904e+03,1.809e+02,4.107e+02,7.496e+03
15.8,8.994e+03,1.969e+02,4.368e+02,9.627e+03
17.4,1.179e+04,2.086e+02,4.252e+02,1.242e+04
19.0,1.579e+04,2.148e+02,3.898e+02,1.639e+04
20.6,1.827e+04,2.401e+02,4.112e+02,1.892e+04
22.1,1.585e+04,2.162e+02,4.823e+02,1.655e+04
23.7,1.516e+04,2.089e+02,5.311e+02,1.590e+04
25.3,1.792e+04,2.807e+02,5.222e+02,1.872e+04
26.9,2.235e+04,3.030e+02,4.662e+02,2.312e+04
28.5,2.768e+04,3.113e+02,4.848e+02,2.848e+04
30.0,3.374e+04,3.557e+02,5.950e+02,3.469e+04
31.6,4.095e+04,4.097e+02,7.073e+02,4.207e+04
33.2,4.930e+04,4.834e+02,7.701e+02,5.055e+04
34.8,5.965e+04,5.341e+02,7.840e+02,6.097e+04
36.4,7.177e+04,6.146e+02,8.344e+02,7.322e+04
37.9,8.758e+04,8.521e+02,9.918e+02,8.942e+04
39.5,1.046e+05,1.327e+03,1.138e+03,1.071e+05
41.1,1.311e+05,2.027e+03,1.345e+03,1.345e+05
42.7,1.632e+05,2.832e+03,1.660e+03,1.677e+05
44.3,1.777e+05,3.566e+03,1.950e+03,1.832e+05
45.9,2.135e+05,4.305e+03,2.441e+03,2.202e+05
47.4,2.908e+05,4.879e+03,3.842e+03,2.996e+05
49.0,3.943e+05,6.260e+03,6.753e+03,4.073e+05
50.6,5.057e+05,1.051e+04,9.156e+03,5.254e+05
52.2,6.172e+05,1.994e+04,1.186e+04,6.490e+05
53.8,9.179e+05,3.769e+04,1.636e+04,9.720e+05
55.3,1.551e+06,6.565e+04,2.605e+04,1.643e+06
56.9,1.994e+06,9.112e+04,3.766e+04,2.123e+06
58.5,1.695e+06,9.101e+04,4.530e+04,1.832e+06
60.1,1.151e+06,7.697e+04,4.452e+04,1.272e+06
61.7,7.927e+05,7.083e+04,4.523e+04,9.087e+05
63.2,5.942e+05,7.613e+04,5.703e+04,7.274e+05
64.8,4.498e+05,7.574e+04,6.624e+04,5.918e+05
66.4,3.333e+05,6.189e+04,5.999e+04,4.552e+05
68.0,2.337e+05,3.938e+04,4.004e+04,3.131e+05
69.6,1.697e+05,2.083e+04,2.146e+04,2.120e+05
71.1,1.244e+05,1.165e+04,1.062e+04,1.467e+05
72.7,8.199e+04,7.628e+03,5.227e+03,9.485e+04
74.3,5.062e+04,5.306e+03,2.289e+03,5.822e+04
75.9,3.726e+04,7.464e+03,1.489e+03,4.622e+04
77.5,2.953e+04,7.789e+03,1.434e+03,3.875e+04
79.1,2.794e+04,1.072e+04,2.131e+03,4.079e+04
80.6,3.080e+04,1.646e+04,4.434e+03,5.169e+04
82.2,3.042e+04,2.121e+04,7.362e+03,5.899e+04
83.8,2.909e+04,2.456e+04,9.128e+03,6.277e+04
85.4,2.885e+04,2.449e+04,8.477e+03,6.181e+04
87.0,3.062e+04,1.684e+04,5.650e+03,5.311e+04
88.5,3.618e+04,7.623e+03,4.820e+03,4.862e+04
90.1,4.812e+04,2.540e+03,8.009e+03,5.867e+04
91.7,6.552e+04,1.060e+03,1.429e+04,8.087e+04
93.3,7.543e+04,1.331e+03,2.093e+04,9.769e+04
94.9,6.971e+04,1.554e+03,2.627e+04,9.753e+04
96.4,5.640e+04,1.921e+03,2.988e+04,8.820e+04
98.0,4.452e+04,3.255e+03,3.113e+04,7.891e+04
99.6,3.635e+04,6.329e+03,2.990e+04,7.258e+04
