freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.057e+01,3.279e+02,4.020e+01,3.787e+02
1.6,3.282e+01,2.008e+02,4.067e+01,2.743e+02
3.2,3.546e+01,3.930e+01,2.586e+01,1.006e+02
4.7,3.609e+01,3.745e+02,2.590e+01,4.365e+02
6.3,3.908e+01,1.218e+03,2.785e+01,1.285e+03
7.9,4.344e+01,2.000e+03,2.902e+01,2.073e+03
9.5,4.256e+01,3.013e+03,2.705e+01,3.082e+03
11.1,4.273e+01,4.258e+03,2.609e+01,4.326e+03
12.7,4.496e+01,6.103e+03,2.864e+01,6.177e+03
14.2,4.856e+01,8.862e+03,3.184e+01,8.942e+03
15.8,5.143e+01,1.195e+04,3.314e+01,1.203e+04
17.4,6.000e+01,1.598e+04,3.027e+01,1.607e+04
19.0,7.174e+01,2.199e+04,2.634e+01,2.209e+04
20.6,1.971e+02,3.130e+04,2.622e+01,3.152e+04
22.1,6.700e+02,4.207e+04,3.051e+01,4.277e+04
23.7,8.962e+02,3.934e+04,4.646e+01,4.028e+04
25.3,4.813e+02,2.321e+04,4.841e+01,2.374e+04
26.9,1.619e+02,2.178e+04,3.874e+01,2.198e+04
28.5,1.042e+02,3.245e+04,3.686e+01,3.259e+04
30.0,1.544e+02,4.887e+04,3.559e+01,4.906e+04
31.6,2.015e+02,6.941e+04,5.975e+01,6.967e+04
33.2,2.774e+02,1.012e+05,1.412e+02,1.016e+05
34.8,5.352e+02,1.584e+05,4.763e+02,1.594e+05
36.4,1.028e+03,2.629e+05,2.291e+03,2.662e+05
38.0,1.909e+03,5.138e+05,7.874e+03,5.235e+05
39.5,3.003e+03,9.777e+05,1.927e+04,1.000e+06
41.1,3.357e+03,1.160e+06,3.059e+04,1.194e+06
42.7,2.917e+03,7.809e+05,3.257e+04,8.164e+05
44.3,1.700e+03,4.034e+05,3.124e+04,4.363e+05
45.9,1.025e+03,2.333e+05,3.335e+04,2.677e+05
47.4,1.830e+03,1.566e+05,3.398e+04,1.925e+05
49.0,2.829e+03,1.112e+05,3.384e+04,1.479e+05
50.6,2.483e+03,8.334e+04,3.868e+04,1.245e+05
52.2,2.755e+03,5.445e+04,4.786e+04,1.051e+05
53.8,2.437e+03,3.024e+04,5.825e+04,9.092e+04
55.4,1.723e+03,1.759e+04,6.415e+04,8.347e+04
56.9,1.522e+03,2.035e+04,7.089e+04,9.275e+04
58.5,2.583e+03,4.780e+04,8.880e+04,1.392e+05
60.1,5.392e+03,9.410e+04,9.978e+04,1.993e+05
61.7,8.054e+03,1.213e+05,9.117e+04,2.205e+05
63.3,1.132e+04,1.319e+05,7.899e+04,2.222e+05
64.8,1.677e+04,1.528e+05,7.949e+04,2.490e+05
66.4,1.642e+04,1.708e+05,8.218e+04,2.694e+05
68.0,1.001e+04,1.665e+05,7.488e+04,2.514e+05
69.6,5.937e+03,1.484e+05,6.256e+04,2.169e+05
71.2,3.966e+03,1.238e+05,4.795e+04,1.757e+05
72.8,2.881e+03,9.922e+04,3.786e+04,1.400e+05
74.3,1.924e+03,7.363e+04,3.116e+04,1.067e+05
75.9,8.469e+02,5.188e+04,2.392e+04,7.665e+04
77.5,4.427e+02,3.448e+04,1.572e+04,5.064e+04
79.1,6.253e+02,2.453e+04,9.205e+03,3.436e+04
80.7,9.052e+02,2.251e+04,6.773e+03,3.019e+04
82.2,1.168e+03,2.234e+04,6.186e+03,2.969e+04
83.8,1.319e+03,3.065e+04,7.648e+03,3.961e+04
85.4,1.475e+03,4.748e+04,1.205e+04,6.100e+04
87.0,1.007e+03,6.233e+04,1.952e+04,8.286e+04
88.6,1.242e+03,6.703e+04,2.321e+04,9.149e+04
90.1,1.870e+03,6.084e+04,2.243e+04,8.514e+04
91.7,2.140e+03,5.281e+04,2.033e+04,7.529e+04
93.3,2.269e+03,4.640e+04,1.807e+04,6.674e+04
94.9,2.280e+03,3.936e+04,1.608e+04,5.772e+04
96.5,1.910e+03,3.003e+04,1.456e+04,4.650e+04
98.1,1.501e+03,2.435e+04,1.265e+04,3.850e+04
99.6,1.530e+03,2.662e+04,1.019e+04,3.833e+04
101.2,2.109e+03,3.521e+04,7.528e+03,4.485e+04
102.8,3.244e+03,4.532e+04,5.513e+03,5.408e+04
104.4,3.889e+03,5.011e+04,4.170e+03,5.817e+04
106.0,4.471e+03,5.110e+04,3.328e+03,5.890e+04
107.5,4.741e+03,5.232e+04,3.200e+03,6.026e+04
109.1,4.531e+03,5.033e+04,3.649e+03,5.851e+04
110.7,4.075e+03,4.793e+04,4.697e+03,5.670e+04
112.3,3.499e+03,4.443e+04,6.003e+03,5.394e+04
113.9,3.333e+03,4.175e+04,7.047e+03,5.213e+04
115.5,3.383e+03,3.585e+04,6.661e+03,4.589e+04
117.0,3.628e+03,2.940e+04,6.097e+03,3.912e+04
118.6,3.607e+03,2.526e+04,5.845e+03,3.471e+04
120.2,3.313e+03,2.205e+04,5.445e+03,3.081e+04
121.8,3.479e+03,1.958e+04,4.537e+03,2.760e+04
123.4,3.411e+03,2.236e+04,3.732e+03,2.950e+04
124.9,3.152e+03,2.160e+04,3.872e+03,2.862e+04
126.5,2.287e+03,2.205e+04,3.774e+03,2.811e+04
128.1,2.067e+03,3.239e+04,3.557e+03,3.801e+04
129.7,4.156e+03,5.003e+04,4.257e+03,5.845e+04
131.3,6.310e+03,5.531e+04,3.885e+03,6.551e+04
132.8,6.032e+03,3.894e+04,2.005e+03,4.697e+04
134.4,5.250e+03,5.904e+03,1.062e+03,1.222e+04
136.0,6.212e+03,6.456e+02,1.538e+03,8.395e+03
137.6,6.560e+03,5.043e+02,1.939e+03,9.003e+03
139.2,6.153e+03,5.178e+02,2.160e+03,8.831e+03
140.8,5.089e+03,7.524e+02,2.130e+03,7.971e+03
142.3,4.556e+03,1.106e+03,2.176e+03,7.839e+03
143.9,4.598e+03,1.194e+03,2.228e+03,8.020e+03
145.5,5.133e+03,1.084e+03,2.361e+03,8.577e+03
147.1,6.178e+03,1.033e+03,2.632e+03,9.842e+03
148.7,7.369e+03,1.008e+03,2.930e+03,1.131e+04
150.2,7.457e+03,1.104e+03,2.832e+03,1.139e+04
151.8,6.738e+03,1.182e+03,2.603e+03,1.052e+04
153.4,5.793e+03,1.275e+03,2.327e+03,9.395e+03
155.0,5.574e+03,1.571e+03,2.139e+03,9.283e+03
156.6,6.170e+03,1.960e+03,2.224e+03,1.035e+04
158.2,6.038e+03,2.390e+03,2.204e+03,1.063e+04
159.7,5.734e+03,2.706e+03,2.105e+03,1.054e+04
161.3,6.220e+03,2.657e+03,2.167e+03,1.104e+04
162.9,6.606e+03,2.610e+03,2.159e+03,1.137e+04
164.5,7.098e+03,2.615e+03,2.199e+03,1.191e+04
166.1,8.028e+03,2.772e+03,2.426e+03,1.323e+04
167.6,8.204e+03,3.031e+03,2.554e+03,1.379e+04
169.2,7.549e+03,3.061e+03,2.577e+03,1.319e+04
170.8,7.894e+03,3.341e+03,2.796e+03,1.403e+04
172.4,9.513e+03,4.120e+03,3.132e+03,1.677e+04
174.0,1.098e+04,4.736e+03,3.214e+03,1.893e+04
175.6,1.230e+04,5.049e+03,3.175e+03,2.052e+04
177.1,1.340e+04,5.004e+03,3.029e+03,2.144e+04
178.7,1.469e+04,4.649e+03,2.886e+03,2.222e+04
180.3,1.514e+04,4.421e+03,2.713e+03,2.227e+04
181.9,1.479e+04,4.591e+03,2.506e+03,2.189e+04
183.5,1.498e+04,4.697e+03,2.487e+03,2.216e+04
185.0,1.384e+04,4.883e+03,2.316e+03,2.104e+04
186.6,1.284e+04,5.746e+03,2.017e+03,2.061e+04
188.2,1.257e+04,6.616e+03,1.803e+03,2.099e+04
189.8,1.204e+04,7.801e+03,1.517e+03,2.136e+04
191.4,1.201e+04,8.138e+03,1.338e+03,2.148e+04
192.9,1.195e+04,7.166e+03,1.302e+03,2.042e+04
194.5,1.214e+04,6.502e+03,1.526e+03,2.017e+04
196.1,1.127e+04,5.090e+03,1.570e+03,1.793e+04
197.7,9.287e+03,3.827e+03,1.386e+03,1.450e+04
199.3,7.030e+03,3.416e+03,1.208e+03,1.165e+04
