freq,psd_x,psd_y,psd_z,psd_xyz,zv(58.0),mzv(60.8),ei(54.2),2hump_ei(89.6),3hump_ei(107.2)
184.2,2.876e+02,6.794e+01,6.066e+02,9.622e+02,0.314,0.471,0.173,0.460,0.236
185.8,2.523e+02,7.733e+01,5.219e+02,8.515e+02,0.323,0.454,0.192,0.452,0.250
187.4,2.430e+02,9.916e+01,4.774e+02,8.196e+02,0.332,0.435,0.212,0.444,0.264
189.0,2.296e+02,1.086e+02,4.337e+02,7.719e+02,0.341,0.416,0.231,0.434,0.277
190.6,2.148e+02,1.186e+02,3.934e+02,7.268e+02,0.351,0.397,0.251,0.423,0.290
192.2,2.079e+02,1.307e+02,3.735e+02,7.120e+02,0.362,0.378,0.270,0.412,0.302
193.8,2.019e+02,1.428e+02,3.605e+02,7.051e+02,0.381,0.358,0.289,0.399,0.313
195.4,1.952e+02,1.527e+02,3.442e+02,6.921e+02,0.403,0.338,0.306,0.386,0.323
197.0,1.879e+02,1.556e+02,3.327e+02,6.762e+02,0.424,0.318,0.323,0.372,0.332
198.6,1.894e+02,1.622e+02,3.421e+02,6.936e+02,0.445,0.298,0.339,0.357,0.341
