freq,psd_x,psd_y,psd_z,psd_xyz
174.3,4.815e+03,1.442e+03,8.923e+02,7.149e+03
175.9,4.484e+03,1.225e+03,8.170e+02,6.526e+03
177.5,3.979e+03,1.111e+03,6.891e+02,5.779e+03
179.1,3.347e+03,1.099e+03,5.943e+02,5.040e+03
180.7,2.684e+03,1.072e+03,5.124e+02,4.268e+03
182.3,2.171e+03,1.314e+03,3.976e+02,3.882e+03
183.9,1.944e+03,1.673e+03,3.149e+02,3.932e+03
185.5,1.901e+03,1.889e+03,2.901e+02,4.080e+03
187.1,2.144e+03,1.928e+03,3.604e+02,4.433e+03
188.7,2.504e+03,2.142e+03,4.977e+02,5.143e+03
190.3,2.854e+03,2.387e+03,6.407e+02,5.882e+03
191.9,3.044e+03,2.455e+03,7.237e+02,6.222e+03
193.5,3.180e+03,2.732e+03,7.425e+02,6.655e+03
195.1,3.153e+03,3.310e+03,7.261e+02,7.189e+03
196.7,2.819e+03,3.301e+03,6.270e+02,6.747e+03
198.3,2.753e+03,3.332e+03,6.012e+02,6.686e+03
199.9,3.389e+03,3.525e+03,7.654e+02,7.679e+03
