freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.240e+02,1.928e+01,2.098e+01,3.643e+02
1.6,2.033e+02,3.241e+01,4.268e+01,2.784e+02
3.2,4.745e+01,2.634e+01,3.702e+01,1.108e+02
4.8,3.994e+02,2.608e+01,3.391e+01,4.594e+02
6.4,1.207e+03,2.903e+01,3.716e+01,1.273e+03
8.0,1.952e+03,3.194e+01,3.816e+01,2.022e+03
9.6,2.774e+03,3.210e+01,3.949e+01,2.846e+03
11.2,3.799e+03,3.390e+01,3.624e+01,3.870e+03
12.8,5.108e+03,3.722e+01,3.410e+01,5.179e+03
14.4,6.622e+03,4.441e+01,3.251e+01,6.699e+03
16.0,8.521e+03,4.871e+01,3.281e+01,8.602e+03
17.6,1.055e+04,5.849e+01,3.464e+01,1.064e+04
19.2,1.289e+04,7.502e+01,3.392e+01,1.300e+04
20.8,1.644e+04,1.075e+02,3.484e+01,1.658e+04
22.4,1.923e+04,1.257e+02,4.155e+01,1.940e+04
24.0,1.845e+04,1.256e+02,4.881e+01,1.863e+04
25.6,1.893e+04,1.447e+02,4.765e+01,1.913e+04
27.2,2.240e+04,1.861e+02,5.449e+01,2.264e+04
28.8,2.705e+04,1.973e+02,6.499e+01,2.731e+04
30.4,3.270e+04,2.127e+02,8.406e+01,3.299e+04
32.0,3.933e+04,2.504e+02,1.097e+02,3.969e+04
33.6,4.733e+04,3.075e+02,1.409e+02,4.778e+04
35.2,5.674e+04,4.005e+02,1.801e+02,5.732e+04
36.8,6.838e+04,5.077e+02,2.119e+02,6.910e+04
38.4,8.273e+04,6.187e+02,2.625e+02,8.361e+04
40.0,9.830e+04,7.925e+02,3.224e+02,9.941e+04
41.6,1.247e+05,1.095e+03,3.985e+02,1.262e+05
43.2,1.608e+05,1.405e+03,5.494e+02,1.628e+05
44.8,2.103e+05,1.818e+03,1.057e+03,2.131e+05
46.4,2.832e+05,2.423e+03,2.314e+03,2.880e+05
48.0,3.957e+05,4.085e+03,2.372e+03,4.021e+05
49.6,5.028e+05,6.038e+03,1.286e+03,5.101e+05
51.2,5.489e+05,6.694e+03,1.164e+03,5.568e+05
52.8,5.828e+05,7.227e+03,1.471e+03,5.915e+05
54.4,6.069e+05,8.065e+03,2.851e+03,6.178e+05
56.0,6.477e+05,1.089e+04,5.141e+03,6.637e+05
57.6,7.389e+05,1.580e+04,8.158e+03,7.628e+05
59.2,8.302e+05,2.028e+04,1.109e+04,8.615e+05
60.8,7.736e+05,2.121e+04,1.195e+04,8.067e+05
62.4,5.860e+05,2.015e+04,1.386e+04,6.200e+05
64.0,4.248e+05,1.793e+04,1.441e+04,4.571e+05
65.6,3.063e+05,1.880e+04,1.695e+04,3.421e+05
67.2,2.084e+05,2.158e+04,2.391e+04,2.539e+05
68.8,1.334e+05,1.495e+04,1.869e+04,1.670e+05
70.4,7.903e+04,6.994e+03,7.869e+03,9.390e+04
