freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.482e+00,3.308e+02,3.304e+01,3.723e+02
1.6,2.949e+01,2.014e+02,3.493e+01,2.658e+02
3.2,3.348e+01,3.863e+01,2.115e+01,9.326e+01
4.8,3.446e+01,4.212e+02,2.272e+01,4.784e+02
6.4,3.972e+01,1.297e+03,2.359e+01,1.360e+03
8.0,4.298e+01,2.117e+03,2.359e+01,2.183e+03
9.6,4.001e+01,3.087e+03,2.558e+01,3.153e+03
11.2,4.304e+01,4.492e+03,2.511e+01,4.560e+03
12.8,4.536e+01,6.466e+03,2.495e+01,6.537e+03
14.4,4.248e+01,8.862e+03,2.811e+01,8.933e+03
16.0,4.107e+01,1.163e+04,2.620e+01,1.170e+04
17.6,4.982e+01,1.506e+04,2.239e+01,1.513e+04
19.2,6.231e+01,1.932e+04,2.280e+01,1.940e+04
20.8,4.395e+01,2.465e+04,2.269e+01,2.471e+04
22.4,6.636e+01,3.410e+04,2.368e+01,3.419e+04
24.0,1.343e+02,4.635e+04,2.590e+01,4.651e+04
25.6,1.554e+02,5.241e+04,3.756e+01,5.260e+04
27.2,1.034e+02,5.448e+04,5.356e+01,5.464e+04
28.8,7.077e+01,6.686e+04,1.133e+02,6.705e+04
30.4,1.127e+02,8.362e+04,2.320e+02,8.397e+04
32.0,2.066e+02,9.410e+04,3.485e+02,9.466e+04
33.6,2.916e+02,1.215e+05,5.258e+02,1.223e+05
35.2,4.323e+02,1.802e+05,1.009e+03,1.817e+05
36.8,7.305e+02,3.070e+05,2.394e+03,3.101e+05
38.4,1.242e+03,5.217e+05,6.169e+03,5.291e+05
40.0,1.683e+03,6.816e+05,1.243e+04,6.958e+05
41.6,1.224e+03,6.594e+05,1.889e+04,6.795e+05
43.2,7.452e+02,5.620e+05,2.483e+04,5.876e+05
44.8,5.733e+02,4.159e+05,2.839e+04,4.448e+05
46.4,4.624e+02,2.787e+05,2.946e+04,3.086e+05
48.0,2.523e+02,1.867e+05,2.843e+04,2.153e+05
49.6,2.864e+02,1.297e+05,2.561e+04,1.556e+05
51.2,4.470e+02,9.390e+04,2.495e+04,1.193e+05
52.8,9.081e+02,6.445e+04,2.725e+04,9.261e+04
54.4,1.172e+03,4.401e+04,3.143e+04,7.661e+04
56.0,9.979e+02,2.942e+04,3.682e+04,6.724e+04
57.6,8.041e+02,1.934e+04,4.717e+04,6.731e+04
59.2,1.068e+03,1.768e+04,6.775e+04,8.649e+04
60.8,1.797e+03,2.764e+04,8.787e+04,1.173e+05
62.4,1.653e+03,4.159e+04,8.231e+04,1.255e+05
64.0,1.132e+03,5.289e+04,7.677e+04,1.308e+05
65.6,1.087e+03,6.167e+04,7.496e+04,1.377e+05
67.2,1.158e+03,6.524e+04,6.833e+04,1.347e+05
68.8,1.165e+03,7.408e+04,6.367e+04,1.389e+05
70.4,1.260e+03,9.001e+04,6.319e+04,1.545e+05
71.9,8.159e+02,9.652e+04,5.759e+04,1.549e+05
73.5,7.455e+02,8.470e+04,4.534e+04,1.308e+05
75.1,7.484e+02,6.739e+04,3.377e+04,1.019e+05
76.7,6.373e+02,5.609e+04,2.648e+04,8.322e+04
78.3,5.712e+02,4.440e+04,2.015e+04,6.512e+04
79.9,7.501e+02,3.331e+04,1.431e+04,4.837e+04
81.5,1.298e+03,2.763e+04,1.005e+04,3.898e+04
83.1,2.096e+03,2.459e+04,7.631e+03,3.432e+04
84.7,5.462e+03,2.510e+04,5.824e+03,3.639e+04
86.3,1.083e+04,3.410e+04,4.755e+03,4.969e+04
87.9,1.632e+04,5.131e+04,4.591e+03,7.221e+04
89.5,2.055e+04,6.570e+04,5.088e+03,9.133e+04
91.1,2.365e+04,7.054e+04,5.377e+03,9.956e+04
92.7,2.395e+04,6.819e+04,5.646e+03,9.779e+04
94.3,2.132e+04,6.520e+04,6.638e+03,9.315e+04
95.9,1.885e+04,6.040e+04,7.960e+03,8.721e+04
97.5,1.575e+04,5.185e+04,8.760e+03,7.636e+04
99.1,1.195e+04,4.296e+04,8.913e+03,6.383e+04
100.7,8.654e+03,3.661e+04,8.655e+03,5.392e+04
102.3,5.944e+03,3.230e+04,8.177e+03,4.643e+04
