freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.048e+01,2.954e+02,3.037e+01,3.363e+02
1.6,3.811e+01,1.856e+02,3.965e+01,2.634e+02
3.2,4.052e+01,5.163e+01,3.103e+01,1.232e+02
4.8,4.382e+01,4.074e+02,3.716e+01,4.883e+02
6.4,4.284e+01,1.249e+03,3.741e+01,1.329e+03
8.0,4.138e+01,2.080e+03,4.090e+01,2.162e+03
9.6,4.599e+01,3.030e+03,4.493e+01,3.120e+03
11.2,5.012e+01,4.134e+03,4.016e+01,4.224e+03
12.8,5.027e+01,5.671e+03,3.242e+01,5.754e+03
14.4,5.352e+01,7.955e+03,3.441e+01,8.043e+03
16.0,5.631e+01,1.041e+04,4.065e+01,1.051e+04
17.6,5.714e+01,1.345e+04,3.983e+01,1.355e+04
19.2,5.975e+01,1.788e+04,4.050e+01,1.798e+04
20.8,1.788e+02,2.478e+04,3.943e+01,2.500e+04
22.4,7.666e+02,3.648e+04,4.533e+01,3.729e+04
24.0,9.263e+02,5.838e+04,6.333e+01,5.937e+04
25.6,9.417e+02,7.074e+04,9.732e+01,7.178e+04
27.2,6.374e+02,3.613e+04,9.126e+01,3.686e+04
28.8,2.434e+02,1.206e+04,6.084e+01,1.236e+04
30.4,1.042e+02,1.683e+04,5.097e+01,1.698e+04
32.0,7.042e+01,3.055e+04,5.801e+01,3.068e+04
33.6,6.934e+01,5.035e+04,9.764e+01,5.052e+04
35.2,8.149e+01,8.029e+04,1.814e+02,8.056e+04
36.8,6.548e+01,1.302e+05,4.839e+02,1.307e+05
38.4,1.239e+02,2.274e+05,1.616e+03,2.291e+05
40.0,7.061e+02,4.978e+05,8.743e+03,5.072e+05
41.6,3.009e+03,1.050e+06,3.238e+04,1.085e+06
43.2,3.801e+03,1.128e+06,4.937e+04,1.181e+06
44.8,2.403e+03,6.902e+05,4.512e+04,7.377e+05
46.4,1.551e+03,3.779e+05,3.813e+04,4.176e+05
48.0,1.142e+03,1.969e+05,3.438e+04,2.324e+05
49.6,9.896e+02,1.028e+05,3.177e+04,1.356e+05
51.2,8.105e+02,6.413e+04,2.773e+04,9.267e+04
52.8,6.976e+02,5.006e+04,2.775e+04,7.850e+04
54.4,5.145e+02,3.608e+04,3.173e+04,6.833e+04
56.0,3.529e+02,2.262e+04,4.329e+04,6.626e+04
57.6,3.777e+02,1.755e+04,4.807e+04,6.600e+04
59.2,4.310e+02,1.759e+04,3.910e+04,5.711e+04
60.8,5.414e+02,1.573e+04,2.808e+04,4.434e+04
62.4,1.019e+03,1.592e+04,2.556e+04,4.250e+04
64.0,1.907e+03,2.258e+04,3.128e+04,5.576e+04
65.6,2.622e+03,4.397e+04,4.442e+04,9.101e+04
67.2,3.097e+03,8.254e+04,6.036e+04,1.460e+05
68.8,3.677e+03,1.184e+05,6.914e+04,1.912e+05
70.4,3.473e+03,1.215e+05,6.044e+04,1.854e+05
72.0,2.372e+03,1.007e+05,4.206e+04,1.452e+05
73.6,1.572e+03,8.205e+04,2.875e+04,1.124e+05
75.2,1.681e+03,6.873e+04,2.140e+04,9.181e+04
76.8,2.453e+03,5.408e+04,1.509e+04,7.162e+04
78.4,2.572e+03,4.103e+04,1.008e+04,5.368e+04
80.0,1.866e+03,3.185e+04,8.108e+03,4.182e+04
81.6,1.861e+03,2.319e+04,7.389e+03,3.244e+04
83.2,2.289e+03,1.815e+04,6.068e+03,2.651e+04
84.8,2.651e+03,2.903e+04,5.945e+03,3.763e+04
86.4,3.032e+03,5.858e+04,8.288e+03,6.990e+04
88.0,4.065e+03,7.937e+04,9.926e+03,9.336e+04
89.6,5.963e+03,9.083e+04,1.070e+04,1.075e+05
91.2,6.513e+03,8.497e+04,1.060e+04,1.021e+05
92.8,5.232e+03,6.916e+04,9.858e+03,8.425e+04
94.4,3.624e+03,5.633e+04,7.573e+03,6.752e+04
96.0,2.492e+03,5.698e+04,3.929e+03,6.340e+04
97.6,1.726e+03,5.776e+04,1.351e+03,6.084e+04
99.3,1.288e+03,4.993e+04,7.009e+02,5.192e+04
100.9,1.204e+03,3.938e+04,2.209e+03,4.280e+04
102.5,1.338e+03,2.722e+04,5.581e+03,3.414e+04
104.1,1.121e+03,1.820e+04,7.272e+03,2.659e+04
105.7,7.463e+02,1.908e+04,6.651e+03,2.647e+04
107.3,4.143e+02,2.620e+04,5.887e+03,3.250e+04
108.9,2.424e+02,3.383e+04,5.236e+03,3.931e+04
110.5,2.350e+02,3.849e+04,5.056e+03,4.378e+04
112.1,3.728e+02,3.940e+04,5.625e+03,4.540e+04
113.7,4.833e+02,3.747e+04,6.244e+03,4.420e+04
115.3,4.341e+02,3.396e+04,6.117e+03,4.051e+04
